,Name,SSN,Age,Job,Pregnancies,Glucose,BloodPressure,SkinThickness,Insulin,BMI,DiabetesPedigreeFunction,Outcome
33,Germana Giolitti,ZMPTMT71R61H583F,28,Trade mark attorney,6,92,92,0,0,19.9,0.188,0
34,Etta Emo,VSPCRL02D44D711S,45,Multimedia programmer,10,122,78,31,0,27.6,0.512,0
35,Vittoria Rossi-Brenna,PSNMRA45E15D522R,33,Data scientist,4,103,60,33,192,24.0,0.966,0
36,Mariana Fagiani,FLPLNI19E26D513V,35,"Designer, fashion/clothing",11,138,76,0,0,33.2,0.42,0
37,Pina Modiano,TSONTN70R03E069R,46,Emergency planning/management officer,9,102,76,37,0,32.9,0.665,1
38,Flavia Cilibrasi,SRDGSN11A47H423L,27,Air broker,2,90,68,42,0,38.2,0.503,1
39,Livia Camanni,RDEFDL21T50A013A,56,Ranger/warden,4,111,72,47,207,37.1,1.39,1
40,Annunziata Cadorna,RSSLMR67L53E812V,26,Health promotion specialist,3,180,64,25,70,34.0,0.271,0
41,Cassandra Volterra,GNNCML19M59E544G,37,Soil scientist,7,133,84,0,0,40.2,0.696,0
42,Annetta Balbo,PNNVNS41B08L713E,48,Clinical research associate,7,106,92,18,0,22.7,0.235,0
43,Raffaella Navarria,BRNGLT27C11H602H,54,Field trials officer,9,171,110,24,240,45.4,0.721,1
44,Patrizia Proietti,FNTLCN69H60G079W,40,Dancer,7,159,64,0,0,27.4,0.294,0
45,Pierina Trevisan,SRCFRN53R15E980C,25,Information officer,0,180,66,39,0,42.0,1.893,1
46,Tina Bosurgi,BMBPLM61M22G600C,29,"Scientist, marine",1,146,56,0,0,29.7,0.564,0
47,Dott. Berenice Barracco,CMNGCN15B46H427Q,22,Health promotion specialist,2,71,70,27,0,28.0,0.586,0
48,Luisa Raimondi,TMMZGL86A46E839F,31,Metallurgist,7,103,66,32,0,39.1,0.344,1
49,Rosina Gilardoni,FBNNTN15H20M388P,24,Estate agent,7,105,0,0,0,0.0,0.305,0
50,Silvia Pirandello,BRNMLE52M58D612I,22,Dispensing optician,1,103,80,11,82,19.4,0.491,0
51,Maura Aulenti,NNSLLT43P13F268H,26,General practice doctor,1,101,50,15,36,24.2,0.526,0
52,Camilla Albertini-Pausini,PRSCTN06R16B966F,30,Research scientist (medical),5,88,66,21,23,24.4,0.342,0
53,Sig.ra Loretta Carnera,GNNLDC69R47A135H,58,Copy,8,176,90,34,300,33.7,0.467,1
54,Dott. Matilda Sonnino,RCCMND16S02A118P,42,Patent attorney,7,150,66,42,342,34.7,0.718,0
55,Dott. Fernanda Giannetti,BGLGCT18M66B410V,21,Statistician,1,73,50,10,0,23.0,0.248,0
56,Isabella Mercadante,FGNMLA01T28F965H,41,Housing manager/officer,7,187,68,39,304,37.7,0.254,1
57,Sig.ra Anita Mastandrea,MDGPLN50E22D321F,31,Financial planner,0,100,88,60,110,46.8,0.962,0
58,Dott. Fortunata Fagiani,CCCPLA97B10B809Y,44,Physiotherapist,0,146,82,0,0,40.5,1.781,0
59,Dott. Eliana Scarfoglio,TLRFBZ93P44D259H,22,Secretary/administrator,0,105,64,41,142,41.5,0.173,0
60,Sig.ra Luisa Mantegna,RCCDIA59D12C426W,21,"Engineer, maintenance",2,84,0,0,0,0.0,0.304,0
61,Monica Bellocchio,BSRGMM45L02G874W,39,Software engineer,8,133,72,0,0,32.9,0.27,1
62,Adele Polesel,MNCDNL52B55A188A,36,Community arts worker,5,44,62,0,0,25.0,0.587,0
63,Raffaella Sinisi,TRSRMN06E02E639Z,24,"Radiographer, diagnostic",2,141,58,34,128,25.4,0.699,0
64,Dott. Lina Scaduto,PCCPRG11T53L973I,42,Metallurgist,7,114,66,0,0,32.8,0.258,1
65,Sig.ra Ida Casellati,TRNTZN56H63F845O,32,Building services engineer,5,99,74,27,0,29.0,0.203,0
66,Pina Bosurgi,PRPFBZ37S10L556V,38,Science writer,0,109,88,30,0,32.5,0.855,1
67,Sig.ra Sonia Badoer,DNORFL40P56F573G,54,"Engineer, technical sales",2,109,92,0,0,42.7,0.845,0
68,Michela Monteverdi,GLNVRC79M14D949Y,25,Financial controller,1,95,66,13,38,19.6,0.334,0
69,Loredana Bernardini-Aloisio,VRCPLA18L55H010N,27,Purchasing manager,4,146,85,27,100,28.9,0.189,0
70,Donatella Schiavone,RGNLBC70S66C223J,28,"Civil engineer, contracting",2,100,66,20,90,32.9,0.867,1
71,Sig.ra Paulina Bernetti,BRZLBT16B65C176P,26,Field seismologist,5,139,64,35,140,28.6,0.411,0
72,Daria Nordio,ZFFPCC72B67D117W,42,Health service manager,13,126,90,0,0,43.4,0.583,1
73,Filippa Raurica-Amaldi,NCLGNL55B53L845K,23,Mining engineer,4,129,86,20,270,35.1,0.231,0
74,Serena Ficino-Stefanelli,SRGBNC64H27A914X,22,"Producer, radio",1,79,75,30,0,32.0,0.396,0
75,Flora Fantini,RMTVLT57D08A523Q,22,Senior tax professional/tax inspector,1,0,48,20,0,24.7,0.14,0
76,Emma Gussoni-Monaco,PRZDNI52D56C282G,41,Geophysical data processor,7,62,78,0,0,32.6,0.391,0
77,Evangelista Balla,SMNPNI40D07C986K,27,Medical illustrator,5,95,72,33,0,37.7,0.37,0
78,Lucrezia Tomei,CRDMRL84H12G583K,26,Police officer,0,131,0,0,0,43.2,0.27,1
79,Paloma Savorgnan,PSNCLL50C14F133X,24,Forensic scientist,2,112,66,22,0,25.0,0.307,0
80,Serafina Sismondi,STRMLI54A68D341Q,22,Amenity horticulturist,3,113,44,13,0,22.4,0.14,0
81,Antonina Bombieri,FOXGBL79E63L010B,22,Volunteer coordinator,2,74,0,0,0,0.0,0.102,0
82,Cassandra Lucchesi,SCTBRR39R23M375W,36,Data processing manager,7,83,78,26,71,29.3,0.767,0
83,Laura Soranzo,VSCRND01C67F587Q,22,Ecologist,0,101,65,28,0,24.6,0.237,0
84,Stefani Coppola,VNRGBL47D27A308M,37,"Teacher, music",5,137,108,0,0,48.8,0.227,1
85,Aria Spadafora,SCRPSL54L68L762P,27,Pensions consultant,2,110,74,29,125,32.4,0.698,0
86,Dott. Aria Salvini,CNTRMI93R25G615B,45,"Engineer, broadcasting (operations)",13,106,72,54,0,36.6,0.178,0
87,Elvira Mennea,MJRMBT79L61H835O,26,Amenity horticulturist,2,100,68,25,71,38.5,0.324,0
88,Antonina Rosmini,VLTLVI29R16B369H,43,"Programmer, multimedia",15,136,70,32,110,37.1,0.153,1
89,Romana Micheletti,BLTRNT56B57D107M,24,Technical author,1,107,68,19,0,26.5,0.165,0
90,Fabia Filippini,MGNPPZ70T59B755Y,21,Music tutor,1,80,55,0,0,19.1,0.258,0
91,Angelica Zichichi,PSQVTI95S53B582R,34,"Research officer, trade union",4,123,80,15,176,32.0,0.443,0
92,Lina Telesio,MNLSLS82B64F250X,42,Musician,7,81,78,40,48,46.7,0.261,0
93,Amalia Turati,LRNTNI93R19I962A,60,Sports coach,4,134,72,0,0,23.8,0.277,1
94,Susanna Panzera,CGNFRC06D45A203L,21,Mudlogger,2,142,82,18,64,24.7,0.761,0
95,Simonetta Giannini,CRDNTN25S43H522Z,40,"Therapist, art",6,144,72,27,228,33.9,0.255,0
96,Silvia Sonnino,TTNBTN59P04D579D,24,Dancer,2,92,62,28,0,31.6,0.13,0
97,Bettina Strangio,CBBPLT07H13M294I,22,Production engineer,1,71,48,18,76,20.4,0.323,0
98,Lidia Badoer,FLTLVR43B07M292G,23,"Lighting technician, broadcasting/film/video",6,93,50,30,64,28.7,0.356,0
99,Ramona Vendetti,GBRGCH30M68E931Q,31,Furniture conservator/restorer,1,122,90,51,220,49.7,0.325,1
100,Alessandra Medici,DNRNTT94E01F220R,33,"Lecturer, higher education",1,163,72,0,0,39.0,1.222,1
101,Renata Morgagni,GLTSBN51M43A097L,22,"Editor, magazine features",1,151,60,0,0,26.1,0.179,0
102,Luigina Zanazzo,LTTLSE04A17I727C,21,Personal assistant,0,125,96,0,0,22.5,0.262,0
103,Rita Giannone-Cagnotto,LMBGNR26M67A074Y,24,"Administrator, sports",1,81,72,18,40,26.6,0.283,0
104,Bianca Federici,MLDCML19L56D012G,27,Tax inspector,2,85,65,0,0,39.6,0.93,0
105,Iolanda Carullo,NNCNNS96C07I131T,21,Adult guidance worker,1,126,56,29,152,28.7,0.801,0
106,Aria Carducci,RSNCLC42T41D279P,27,"Psychologist, clinical",1,96,122,0,0,22.4,0.207,0
107,Elisa Gozzano,BRNRMN49E56G346I,37,Plant breeder/geneticist,4,144,58,28,140,29.5,0.287,0
108,Ornella Trentin-Siffredi,MNTSLS86P62A773Z,25,"Restaurant manager, fast food",3,83,58,31,18,34.3,0.336,0
109,Milena Vittadello-Staglieno,CLMGML91B58A698C,24,Health physicist,0,95,85,25,36,37.4,0.247,1
110,Marta Tirabassi,SRETTN59B67B118U,24,"Nurse, adult",3,171,72,33,135,33.3,0.199,1
111,Erika Lucciano-Ludovisi,BLLVRC73R21F527J,46,Landscape architect,8,155,62,26,495,34.0,0.543,1
112,Victoria Nicoletti,RSTLDN37D61H665J,23,Control and instrumentation engineer,1,89,76,34,37,31.2,0.192,0
113,Roberta Lattuada,MRTCRL73L44H612F,25,Haematologist,4,76,62,0,0,34.0,0.391,0
114,Victoria Giolitti,PRTFRN33M05M003R,39,Housing manager/officer,7,160,54,32,175,30.5,0.588,1
115,Graziella Anastasi,CFFGUO24S55C524U,61,Biomedical scientist,4,146,92,0,0,31.2,0.539,1
116,Sig.ra Evangelista Armani,SCTFRC33H47G632Q,38,Health and safety inspector,5,124,74,0,0,34.0,0.22,1
117,Lara Calbo,TRVMLN89S21C222W,25,Public house manager,5,78,48,0,0,33.7,0.654,0
118,Aria Tiepolo,MDRGLR85P26B181F,22,Insurance risk surveyor,4,97,60,23,0,28.2,0.443,0
119,Sig.ra Carla Schiavone,STNLLT65M16C652K,21,Stage manager,4,99,76,15,51,23.2,0.223,0
120,Stella Schiavone-Castiglione,PTRDMN90P63H284A,25,Health and safety adviser,0,162,76,56,100,53.2,0.759,1
121,Emma Poerio,SCNPMN13E60B005K,24,Investment analyst,6,111,64,39,0,34.2,0.26,0
122,Marisa Bragadin,PNCGVN38E59H593G,23,Jewellery designer,2,107,74,30,100,33.6,0.404,0
123,Serena Petrocelli,FLLNNI28L18B923H,69,Mechanical engineer,5,132,80,0,0,26.8,0.186,0
124,Renata Ovadia,BLTMRN63R59D607P,23,"Engineer, broadcasting (operations)",0,113,76,0,0,33.3,0.278,1
125,Annunziata Cendron,DNTRAI04P07F621D,26,Architectural technologist,1,88,30,42,99,55.0,0.496,1
126,Annamaria Falier,BRNLME40B45A589I,30,Physiotherapist,3,120,70,30,135,42.9,0.452,0
127,Caterina Badoer-Piazzi,BRGRMO53R54D290H,23,"Surveyor, building control",1,118,58,36,94,33.3,0.261,0
128,Cristina Pertini-Mennea,BTGGLI14B53G953D,40,Arts development officer,1,117,88,24,145,34.5,0.403,1
129,Griselda Marenzio-Carfagna,NNCSTL74M15E428M,62,Museum education officer,0,105,84,0,0,27.9,0.741,1
130,Anita Botta-Manacorda,NVRLLL60C13F760C,33,Probation officer,4,173,70,14,168,29.7,0.361,1
131,Isabella Armellini,SBLDNL63B62E422W,33,Pharmacologist,9,122,56,0,0,33.3,1.114,1
132,Monica Naccari,GRNRMI62T16L109S,30,Risk analyst,3,170,64,37,225,34.5,0.356,1
133,Erika Leonardi,FRNNTN79M67D691C,39,Chartered loss adjuster,8,84,74,31,0,38.3,0.457,0
134,Sophia Draghi,LZUMRD25S01G011U,26,"Surveyor, insurance",2,96,68,13,49,21.1,0.647,0
135,Isa Tamburi-Sollima,PTRLDC37A52B527E,31,Chartered management accountant,2,125,60,20,140,33.8,0.088,0
136,Sig.ra Susanna Cadorna,CLVFMM85A02G974E,21,Film/video editor,0,100,70,26,50,30.8,0.597,0
137,Dott. Letizia Pizzo,MZZRTR85H54E858I,22,"Engineer, biomedical",0,93,60,25,92,28.7,0.532,0
138,Marisa Pisacane,TRRDRN49S27C331U,29,Horticultural consultant,0,129,80,0,0,31.2,0.703,0
139,Stella Caruso,DNTLRT58P05C345F,28,"Scientist, physiological",5,105,72,29,325,36.9,0.159,0
140,Licia Rastelli-Opizzi,GGGGCH02A45I947V,55,Bonds trader,3,128,78,0,0,21.1,0.268,0
141,Lucia Tomasini,MSTRMN76S17B056R,38,"Administrator, education",5,106,82,30,0,39.5,0.286,0
142,Aurora Alonzi,CNDPPZ25R48E655Q,22,"Doctor, general practice",2,108,52,26,63,32.5,0.318,0
143,Rita Bernardi,PRDPRG59T64A955Q,42,Estate manager/land agent,10,108,66,0,0,32.4,0.272,1
144,Carolina Lucciano-Petrucci,ZRLZRA30M20H072V,23,"Conservation officer, historic buildings",4,154,62,31,284,32.8,0.237,0
145,Monica Brambilla,ZCHTTN30E42G019M,21,Armed forces technical officer,0,102,75,23,0,0.0,0.572,0
146,Carla Zaccagnini,GRGNCL48L44B381W,41,IT consultant,9,57,80,37,0,32.8,0.096,0
147,Dott. Maria Lamborghini,PLCSMT98T24C047W,34,Newspaper journalist,2,106,64,35,119,30.5,1.4,0
148,Flora Manolesso,CRQGFR06L52D682M,65,"Education officer, environmental",5,147,78,0,0,33.7,0.218,0
149,Isabella Palombi,BRGTLC80P64L284X,22,Drilling engineer,2,90,70,17,0,27.3,0.085,0
150,Fabrizia Serao-Vezzali,MNTMDA00A56G166J,24,Radio broadcast assistant,1,136,74,50,204,37.4,0.399,0
151,Rossana Borgia,PNNGSN95C65M347B,37,Musician,4,114,65,0,0,21.9,0.432,0
152,Paola Parri,SRCGNR43M55H781B,42,"Biochemist, clinical",9,156,86,28,155,34.3,1.189,1
153,Morena Gibilisco,PZZMLN68H21L616I,23,Office manager,1,153,82,42,485,40.6,0.687,0
154,Sig.ra Caterina Santi,TRTDNI06C46L063C,43,Arts development officer,8,188,78,0,0,47.9,0.137,1
155,Anita Mazzanti,GLZVLT44C09M182B,36,"Conservation officer, nature",7,152,88,44,0,50.0,0.337,1
156,Patrizia Carullo,ZPPRSR07M27F123Q,21,"Designer, exhibition/display",2,99,52,15,94,24.6,0.637,0
157,Viridiana Pisacane,PNNRZO01D61M055G,23,Jewellery designer,1,109,56,21,135,25.2,0.833,0
158,Sig.ra Angelina Lollobrigida,GRTBNT06P47A514K,22,"Designer, television/film set",2,88,74,19,53,29.0,0.229,0
159,Camilla Migliaccio,LCCLBC42H48D776N,47,Herpetologist,17,163,72,41,114,40.9,0.817,1
160,Rosina Vecoli,FDRDNT79T57I129D,36,Artist,4,151,90,38,0,29.7,0.294,0
161,Antonia Agostinelli,TZZSRS05M57D634A,45,"Doctor, general practice",7,102,74,40,105,37.2,0.204,0
162,Allegra Tasso,LNZMRN65P08I927H,27,"Engineer, maintenance",0,114,80,34,285,44.2,0.167,0
163,Concetta Ruggieri,SPRRSL72A10L192S,21,Management consultant,2,100,64,23,0,29.7,0.368,0
164,Monica Crispi,FRNPRD59D66C628I,32,Television/film/video producer,0,131,88,0,0,31.6,0.743,1
165,Antonina Cuda,VSNGNE92C08D867O,41,Network engineer,6,104,74,18,156,29.9,0.722,1
166,Marissa Raurica,VSNRMD52A43H913T,22,Catering manager,3,148,66,25,0,32.5,0.256,0
167,Sig.ra Marta Accardo,STPNDA29H05E365Y,34,Data scientist,4,120,68,0,0,29.6,0.709,0
168,Lina Abatantuono,GSSLGN45T02E786F,29,"Producer, television/film/video",4,110,66,0,0,31.9,0.471,0
169,Francesca Gianetti,FVTMLA15T24E435T,29,Chief Marketing Officer,3,111,90,12,78,28.4,0.495,0
170,Lina Gelli,CMMGGL87C68D994J,36,Mining engineer,6,102,82,0,0,30.8,0.18,1
171,Filippa Vergerio,LFRRMS00T56M197N,29,"Psychologist, counselling",6,134,70,23,130,35.4,0.542,1
172,Fortunata Natta-Vergerio,SCLNNS68A24I056D,25,Water quality scientist,2,87,0,23,0,28.9,0.773,0
173,Francesca Pininfarina,BMBLCN33A05I876K,23,Plant breeder/geneticist,1,79,60,42,48,43.5,0.678,0
174,Sig.ra Paoletta Antonacci,PRLGSP87T22E914J,33,"Engineer, water",2,75,64,24,55,29.7,0.37,0
175,Camilla Bellucci,LLLLCN23M59E836L,36,"Programme researcher, broadcasting/film/video",8,179,72,42,130,32.7,0.719,1
176,Paulina Balbo-Grifeo,PNINTL29A44G665L,42,Diagnostic radiographer,6,85,78,0,0,31.2,0.382,0
177,Rosa Necci,BRSMCL22C49B166M,26,Multimedia programmer,0,129,110,46,130,67.1,0.319,1
178,Angelina Treves,MDRNNZ18L24A010J,47,Sales promotion account executive,5,143,78,0,0,45.0,0.19,0
179,Sig.ra Loretta Casale,MEOLSN31S10E156L,37,Clothing/textile technologist,5,130,82,0,0,39.1,0.956,1
180,Stefania Tozzo,BLLFBA83H19G335G,32,Planning and development surveyor,6,87,80,0,0,23.2,0.084,0
181,Imelda Ubaldi,MRNVNS67A07H187E,23,Tour manager,0,119,64,18,92,34.9,0.725,0
182,Germana Rosiello-Gabba,DNLTNF42R50A330A,21,Chief Executive Officer,1,0,74,20,23,27.7,0.299,0
183,Laura Galiazzo,GTALLT99R25G257Z,27,"Production designer, theatre/television/film",5,73,60,0,0,26.8,0.268,0
184,Mariana Lettiere,BTARSL61C25E635B,40,Forest/woodland manager,4,141,74,0,0,27.6,0.244,0
185,Elisa Pratesi-Tresoldi,VNVGRG70C20G015V,41,Garment/textile technologist,7,194,68,28,0,35.9,0.745,1
186,Dott. Luisa Pepe,MNTNNS78P19G769O,60,"Psychologist, educational",8,181,68,36,495,30.1,0.615,1
187,Marina Cheda,CNVGRN12D59M032H,33,"Solicitor, Scotland",1,128,98,41,58,32.0,1.321,1
188,Sole Beffa-Nibali,FRNRCT57D48H914X,31,"Engineer, aeronautical",8,109,76,39,114,27.9,0.64,1
189,Giovanna Leone-Samele,PNZVIO43L66B650W,25,Chiropractor,5,139,80,35,160,31.6,0.361,1
190,Sandra Letta,CLIBRC93L10D734E,21,Health and safety inspector,3,111,62,0,0,22.6,0.142,0
191,Valeria Turci,FRNMRS00P15F891J,40,"Accountant, chartered public finance",9,123,70,44,94,33.1,0.374,0
192,Maria Camicione,CCCSTN37T17H104P,36,Naval architect,7,159,66,0,0,30.4,0.383,1
193,Amalia Coardi,FBBGRC57D61M414Q,40,Fitness centre manager,11,135,0,0,0,52.3,0.578,1
194,Raffaella Sonnino,LRUNNN21P67I056O,42,Ambulance person,8,85,55,20,0,24.4,0.136,0
195,Annalisa Tremonti,JVRDNL06B60I530T,29,Education administrator,5,158,84,41,210,39.4,0.395,1
196,Emma Gentileschi-Cusano,CPCGLS48B45I026J,21,"Surveyor, insurance",1,105,58,0,0,24.3,0.187,0
197,Angelica Rossetti,MLTBCC73B42D607L,23,"Designer, exhibition/display",3,107,62,13,48,22.9,0.678,1
198,Irma Dossetti,CSGMRN57R08H979S,26,"Scientist, research (maths)",4,109,64,44,99,34.8,0.905,1
199,Caterina Garobbio,BRCLRN59E65C751Y,29,Forensic psychologist,4,148,60,27,318,30.9,0.15,1
200,Marissa Armellini,CFRRMI98R23I869F,21,"Scientist, biomedical",0,113,80,16,0,31.0,0.874,0
201,Licia Monti,TRNDRT59E42E273O,28,Learning disability nurse,1,138,82,0,0,40.1,0.236,0
202,Caterina Cafarchia-Bianchi,GTTPLA31A11D680A,32,Industrial buyer,0,108,68,20,0,27.3,0.787,0
203,Ilaria Buonauro,TRTCLD79C04D629F,27,Social researcher,2,99,70,16,44,20.4,0.235,0
204,Melania Bertoni,SCRFRC97C27M032G,55,Clinical molecular geneticist,6,103,72,32,190,37.7,0.324,0
205,Dott. Eleanora Cheda,BRGLDI83E02B385T,27,Publishing rights manager,5,111,72,28,0,23.9,0.407,0
206,Viridiana Proietti,DNSVRN19E14C375B,57,Higher education lecturer,8,196,76,29,280,37.5,0.605,1
207,Donatella Carpaccio-Venditti,VNDSBL35T25F972I,52,"Biochemist, clinical",5,162,104,0,0,37.7,0.151,1
208,Lucrezia Argento,FCNRCC69R56A539S,21,"Programmer, multimedia",1,96,64,27,87,33.2,0.289,0
209,Alessandra Taccola,FLRRSR14P21E587Z,41,"Civil engineer, consulting",7,184,84,33,0,35.5,0.355,1
210,Ida Petralli,NGLPTR40S68F783D,25,Warehouse manager,2,81,60,22,0,27.7,0.29,0
211,Lucrezia Tasso,MRNRCT57L45I754U,24,Ergonomist,0,147,85,54,0,42.8,0.375,0
212,Renata Morpurgo,BRRRMN21D56A749S,60,Bonds trader,7,179,95,31,0,34.2,0.164,0
213,Ida Pellegrini-Cantimori,PZZVRC19S26E705Y,24,Chemical engineer,0,140,65,26,130,42.6,0.431,1
214,Viridiana Mozart,GRNZGL23D59C227O,36,Printmaker,9,112,82,32,175,34.2,0.26,1
215,Lauretta Gangemi,BGLGNT46D59F258H,38,Financial manager,12,151,70,40,271,41.8,0.742,1
216,Amalia Sanudo,DLDSIA89D12D575J,25,Visual merchandiser,5,109,62,41,129,35.8,0.514,1
217,Teresa Sagnelli,LSSNTN62S17F687K,32,Trade union research officer,6,125,68,30,120,30.0,0.464,0
218,Silvia Asmundo,BGGMLI78C65B001S,32,Occupational psychologist,5,85,74,22,0,29.0,1.224,1
219,Priscilla Zola-Zoppetto,JLLRNR89T68M388V,41,Astronomer,5,112,66,0,0,37.8,0.261,1
220,Bianca Mazzacurati,MRRNNT36R22E836I,21,"Engineer, water",0,177,60,29,478,34.6,1.072,1
221,Imelda Berlusconi-Cabrini,VDNGSN57H46B405N,66,Magazine journalist,2,158,90,0,0,31.6,0.805,1
222,Maria Luzi,MNTCSN58M08D490W,37,Games developer,7,119,0,0,0,25.2,0.209,0
223,Sig.ra Aria Piacentini,BRLGLR96D52I174M,61,"Teacher, English as a foreign language",7,142,60,33,190,28.8,0.687,0
224,Luigina Florio,TRTGNL94M46L291N,26,"Engineer, maintenance",1,100,66,15,56,23.6,0.666,0
225,Sig.ra Annunziata Metella,NCLCRL21C47I120M,22,Farm manager,1,87,78,27,32,34.6,0.101,0
226,Melina Columbo,MCHBLS45C57C115N,26,Meteorologist,0,101,76,0,0,35.7,0.198,0
227,Evangelista Loredan,RSSRLD32M63D856O,24,Sport and exercise psychologist,3,162,52,38,0,37.2,0.652,1
228,Sig.ra Romana Ricciardi,CPPCRN99L68G426H,31,"Journalist, newspaper",4,197,70,39,744,36.7,2.329,0
229,Ludovica Tamburi,PCAVNI41S68I881H,24,"Engineer, control and instrumentation",0,117,80,31,53,45.2,0.089,0
230,Donatella Torricelli,SNGBLD35T48F383U,22,Office manager,4,142,86,0,0,44.0,0.645,1
231,Fabia Casarin,CLLNNZ30M18L613B,46,Geophysicist/field seismologist,6,134,80,37,370,46.2,0.238,1
232,Lucrezia Almagià,MMNSTL81M19G555I,22,Set designer,1,79,80,25,37,25.4,0.583,0
233,Camilla Basso,RFFCRT36P09H821Q,29,Probation officer,4,122,68,0,0,35.0,0.394,0
234,Victoria Tamburini,CNCFDL78L55F648G,23,Fish farm manager,3,74,68,28,45,29.7,0.293,0
235,Matilda Comisso,BLDLLT14S25G902L,26,Government social research officer,4,171,72,0,0,43.6,0.479,1
236,Rosaria Antonelli,CBCNNZ54S15B519S,51,Retail banker,7,181,84,21,192,35.9,0.586,1
237,Sylvia Brambilla,SCRGLI07A56E072I,23,Barista,0,179,90,27,0,44.1,0.686,1
238,Antonia Vanvitelli,LNRLGN79C04G224W,32,Lobbyist,9,164,84,21,0,30.8,0.831,1
239,Alina Zacchia,FSCLBC64T67C897W,27,Occupational therapist,0,104,76,0,0,18.4,0.582,0
240,Giada Maderna,TMBGSN50H54E509J,21,"Teacher, primary school",1,91,64,24,0,29.2,0.192,0
241,Vincenza Ziani-Juvara,BRMMME21H08G690M,22,Biomedical scientist,4,91,70,32,88,33.1,0.446,0
242,Rosina Pagnotto-Manzoni,PNZMLT67A50G198H,22,Dramatherapist,3,139,54,0,0,25.6,0.402,1
